k_sym,n_total,size_tag,data_size,seed,model,loss,symmetry_error,n_params
3,4,large,2000,0,shared_aug,501.3306579589844,1.2318944753175741e-10,16552
3,4,large,2000,1,vanilla,1114.91845703125,765.655712890625,30304
3,4,large,2000,1,vanilla_aug,430.375,194.33516540527344,30304
3,4,large,2000,1,shared,507.4315490722656,1.8490732001108511e-10,16552
3,4,large,2000,1,shared_aug,443.06390380859375,1.430703333582528e-10,16552
3,4,large,2000,2,vanilla,1884.0037841796875,1053.2033203125,30304
3,4,large,2000,2,vanilla_aug,1961.0350341796875,237.23675231933595,30304
3,4,large,2000,2,shared,1986.69482421875,5.683193748939885e-10,16552
3,4,large,2000,2,shared_aug,3979.88818359375,7.244290056718228e-10,16552
3,4,large,2000,3,vanilla,6467.560546875,3373.293896484375,30304
3,4,large,2000,3,vanilla_aug,3952.69873046875,1675.226611328125,30304
3,4,large,2000,3,shared,6112.771484375,1.182111342146186e-09,16552
3,4,large,2000,3,shared_aug,5814.57177734375,1.4011004800806858e-09,16552
3,4,large,2000,4,vanilla,6703.8232421875,1201.7778930664062,30304
3,4,large,2000,4,vanilla_aug,4978.42041015625,798.0306884765625,30304
3,4,large,2000,4,shared,3319.75341796875,5.838921068868075e-10,16552
3,4,large,2000,4,shared_aug,3727.79443359375,5.626461963004204e-10,16552
3,4,large,8000,0,vanilla,6159.40576171875,3250.80703125,30304
3,4,large,8000,0,vanilla_aug,1184.5955810546875,701.5904907226562,30304
3,4,large,8000,0,shared,2882.986328125,8.948605523251274e-10,16552
3,4,large,8000,0,shared_aug,2921.442138671875,9.952036084115433e-10,16552
3,4,large,8000,1,vanilla,9653.423828125,12614.0529296875,30304
3,4,large,8000,1,vanilla_aug,2286.09228515625,1671.044970703125,30304
3,4,large,8000,1,shared,4741.14208984375,5.555195858875095e-09,16552
3,4,large,8000,1,shared_aug,4772.12451171875,5.056867546926469e-09,16552
3,4,large,8000,2,vanilla,8667.24609375,9074.640185546876,30304
3,4,large,8000,2,vanilla_aug,2095.257080078125,1102.8857177734376,30304
3,4,large,8000,2,shared,6859.9306640625,3.057777231418868e-09,16552
3,4,large,8000,2,shared_aug,7194.607421875,3.3590085379842093e-09,16552
3,4,large,8000,3,vanilla,1447.3209228515625,2989.76552734375,30304
3,4,large,8000,3,vanilla_aug,479.4540100097656,418.21677856445314,30304
3,4,large,8000,3,shared,1294.586669921875,5.585644391459255e-10,16552
3,4,large,8000,3,shared_aug,1319.80029296875,5.852620055257773e-10,16552
3,4,large,8000,4,vanilla,2158.8759765625,6155.3544921875,30304
3,4,large,8000,4,vanilla_aug,891.8339233398438,639.8848327636719,30304
3,4,large,8000,4,shared,1452.060791015625,1.236333746490459e-09,16552
3,4,large,8000,4,shared_aug,1421.1650390625,1.2156504025639947e-09,16552
4,4,small,500,0,vanilla,574.8973388671875,46.653859806060794,3952
4,4,small,500,0,vanilla_aug,538.635498046875,27.088976287841795,3952
4,4,small,500,0,shared,258.1138916015625,1.1525365731235304e-11,804
4,4,small,500,0,shared_aug,290.0509338378906,1.2837418281175239e-11,804
