n_block,data_size,seed,model,loss,symmetry_error,n_params
1,10000,0,vanilla,0.03295164182782173,0.0,345
1,10000,0,shared,0.01700347475707531,0.0,345
1,10000,0,vanilla_aug,0.007069858722388744,0.0,345
1,10000,0,shared_aug,0.004660886246711016,0.0,345
1,10000,1,vanilla,0.00450653163716197,0.0,345
1,10000,1,shared,0.02465483918786049,0.0,345
1,10000,1,vanilla_aug,0.009442436508834362,0.0,345
1,10000,1,shared_aug,0.005014000926166773,0.0,345
1,10000,2,vanilla,0.007930961437523365,0.0,345
1,10000,2,shared,0.0049120341427624226,0.0,345
1,10000,2,vanilla_aug,0.24094316363334656,0.0,345
1,10000,2,shared_aug,0.007775233127176762,0.0,345
1,10000,3,vanilla,0.007461767178028822,0.0,345
1,10000,3,shared,0.015246355906128883,0.0,345
1,10000,3,vanilla_aug,0.013943813741207123,0.0,345
1,10000,3,shared_aug,0.01688932441174984,0.0,345
1,10000,4,vanilla,0.00269280094653368,0.0,345
1,10000,4,shared,0.0017097698291763663,0.0,345
1,10000,4,vanilla_aug,0.005949191749095917,0.0,345
1,10000,4,shared_aug,0.015085304155945778,0.0,345
2,50,0,vanilla,0.20438972115516663,0.10552714765071869,1297
2,50,0,shared,0.27050861716270447,0.0,651
2,50,0,vanilla_aug,0.1264585554599762,0.013744452968239784,1297
2,50,0,shared_aug,0.03233439847826958,0.0,651
2,50,1,vanilla,0.19595995545387268,0.09994173049926758,1297
2,50,1,shared,0.15136398375034332,0.0,651
2,50,1,vanilla_aug,0.14764520525932312,0.03416047245264053,1297
2,50,1,shared_aug,0.08309628069400787,0.0,651
2,50,2,vanilla,0.948883056640625,2.230461359024048,1297
2,50,2,shared,0.5092921257019043,0.0,651
2,50,2,vanilla_aug,0.5536630749702454,0.23646967113018036,1297
2,50,2,shared_aug,0.49339884519577026,0.0,651
2,50,3,vanilla,0.7770588994026184,0.15724608302116394,1297
2,50,3,shared,0.2906164526939392,0.0,651
2,50,3,vanilla_aug,0.17284883558750153,0.015668436884880066,1297
