k_sym,size_tag,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
3,large,2000,vanilla,3278.7191569010415,2768.8290437564942,3,1006.878975423177,221.72076516958862,3,30304
3,large,2000,vanilla_aug,2345.549357096354,1453.5502811155573,3,409.86753540039064,336.8428589037668,3,30304
3,large,8000,shared,3025.3964029947915,1649.1587005632723,3,1.7296571767448181e-09,1.1627889513165832e-09,3,16552
3,large,8000,shared_aug,3038.243896484375,1678.5304092619922,3,1.8566208496532488e-09,1.3057663542147797e-09,3,16552
3,large,8000,vanilla,5661.842610677083,3282.5900159067523,3,6160.267236328126,2911.9196852872024,3,30304
3,large,8000,vanilla_aug,1390.5621948242188,627.593425741736,3,814.7870137532553,251.4011624866108,3,30304
4,small,500,shared,284.136479695638,182.4821059743085,3,8.334500277429324e-12,2.7642127834071236e-12,3,804
4,small,500,shared_aug,291.6231511433919,185.0865016454632,3,8.246652377178847e-12,1.5879206434334684e-12,3,804
4,small,500,vanilla,425.17420450846356,130.2794358721759,3,78.5191283861796,48.82743610295187,3,3952
4,small,500,vanilla_aug,351.37396748860675,190.04228891467434,3,26.892889849344886,0.5261708049814698,3,3952
4,small,2000,shared,1877.3218994140625,1030.0183143630306,3,1.9534460623156966e-10,1.6352516013661506e-10,3,804
4,small,2000,shared_aug,1797.1439208984375,756.0102410104455,3,1.95710609061465e-10,1.8455480133608227e-10,3,804
4,small,2000,vanilla,3095.689900716146,2031.9316355927788,3,1534.2174697875973,1018.142459439722,3,3952
4,small,2000,vanilla_aug,2580.1714680989585,1259.2721654629825,3,539.6076578776042,326.54590657308233,3,3952
4,small,8000,shared,2892.9241536458335,2983.8486557975843,3,1.0961578570759892e-09,3.830713302595985e-10,3,804
4,small,8000,shared_aug,2977.8114624023438,3398.673616316027,3,1.0188611843098271e-09,2.6778253026577006e-10,3,804
4,small,8000,vanilla,7481.256998697917,3928.743781019755,3,13345.82068074544,8992.63381957374,3,3952
4,small,8000,vanilla_aug,2373.407267252604,1637.3114847290472,3,2664.4482096354163,1799.4071391453258,3,3952
4,medium,500,shared,367.9291687011719,203.7058560029138,3,1.7582066705323915e-11,8.605396744261963e-12,3,3028
4,medium,500,shared_aug,350.37427775065106,172.67930198793016,3,1.5171833638953172e-11,5.028892911678506e-12,3,3028
4,medium,500,vanilla,469.38292439778644,105.61298940056635,3,94.79055709044138,69.02019903760495,3,20272
4,medium,500,vanilla_aug,368.21001688639325,164.87562365485223,3,38.35407826105753,25.95521492497807,3,20272
4,medium,2000,shared,4207.392903645833,1974.448850411052,3,6.737441068012847e-10,4.297134725155528e-10,3,3028
4,medium,2000,shared_aug,3670.1874186197915,1998.0365950727173,3,6.784058666683043e-10,4.96055469104884e-10,3,3028
4,medium,2000,vanilla,3458.8732096354165,2777.8355047142327,3,1268.5598604838053,898.7827906707828,3,20272
4,medium,2000,vanilla_aug,2311.105509440104,983.7092694706986,3,618.169965616862,588.878847376553,3,20272
4,medium,8000,shared,5267.815755208333,2069.4090991553003,3,3.4983906142353285e-09,2.6796532796097524e-09,3,3028
4,medium,8000,shared_aug,6593.688395182292,3503.4782131536786,3,3.5247446221002098e-09,2.2538274336764636e-09,3,3028
